"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"max"	"maxcol"
"GO:0048557"	0.001364317	0.005797173	0.060924585	0.001269905	0.485812507	0.000502609	0.000769206	0.004316974	0.439242724	"0.485812507"	"5"
"GO:0017015"	7.69e-07	0.000197721	0.025814177	5.39e-07	0.912157836	2.83e-07	6.98e-07	1.09e-05	0.061817079	"0.912157836"	"5"
"GO:0017016"	7.17e-06	0.002008183	0.4707355	3.73e-05	0.342110548	2.75e-06	0.000112131	6.21e-05	0.184924338	"0.4707355"	"3"
"GO:0006107"	9.53e-08	6.67e-05	0.005298544	1.08e-06	0.289585269	3.51e-08	1.13e-06	1.78e-06	0.705045386	"0.705045386"	"9"
"GO:0043153"	0.004704511	0.00195073	0.009105108	0.002081321	0.789927377	0.009571287	0.019843519	0.051268861	0.111547286	"0.789927377"	"5"
"GO:0070888"	3.61e-07	0.000111002	0.000215443	3.35e-07	0.003200596	3.15e-07	2.08e-07	6.15e-05	0.996410245	"0.996410245"	"9"
"GO:0004857"	3.04e-06	0.000142259	0.042059424	4.89e-05	0.888708353	3.68e-06	2.69e-06	4.14e-05	0.068990186	"0.888708353"	"5"
"GO:0048738"	0.22378587	0.089627923	0.109329804	0.086995725	0.146045991	0.089736947	0.084134311	0.088012921	0.082330508	"0.22378587"	"1"
"GO:0005102"	3.92e-52	2.14e-27	4.41e-17	8.42e-44	1.81e-12	1.15e-51	1.61e-46	2.13e-32	1	"1"	"9"
"GO:0005104"	0.00242197	0.093566567	0.35540749	0.001087781	0.01499506	0.001212967	0.001072591	0.025333934	0.50490164	"0.50490164"	"9"
"GO:0071398"	0.000117245	0.001256513	0.592102607	0.000966059	0.259721151	7.2e-05	0.000164347	0.000276075	0.145323992	"0.592102607"	"3"
"GO:0010107"	0.001226126	0.0965891	0.098648164	0.021456358	0.006154853	0.000459613	0.000653888	0.060539017	0.714272881	"0.714272881"	"9"
"GO:0003887"	0.012218988	0.022734974	0.014735003	0.004551988	0.172958763	0.015490881	0.005226527	0.029479613	0.722603263	"0.722603263"	"9"
"GO:0001731"	1.21e-07	2.56e-05	0.000181321	2.53e-07	0.998366376	9.68e-08	1.94e-07	7.14e-07	0.001425356	"0.998366376"	"5"
"GO:0036151"	4.69e-06	0.001320415	0.501051622	0.008548399	0.015435409	4.07e-06	1.65e-05	0.000125533	0.47349337	"0.501051622"	"3"
"GO:0036152"	4.99e-06	0.003913179	0.510282325	0.018090588	0.004402354	3.73e-06	3.04e-05	0.000114784	0.463157696	"0.510282325"	"3"
"GO:0032922"	7.26e-07	7.27e-05	0.009781498	3.03e-06	0.109299172	2.76e-07	2.67e-07	0.001158853	0.879683438	"0.879683438"	"9"
"GO:0032436"	3.14e-08	1.04e-05	0.002015429	6.79e-08	0.88660329	1.16e-08	3.63e-08	3.21e-06	0.111367532	"0.88660329"	"5"
"GO:0032435"	0.005543595	0.024041027	0.078931787	0.002504259	0.519099398	0.003790987	0.019142277	0.004890401	0.34205627	"0.519099398"	"5"
"GO:0032438"	0.005560863	0.05283873	0.050224278	0.003946534	0.696596265	0.002353776	0.002257154	0.025941609	0.160280792	"0.696596265"	"5"
"GO:0006112"	2.4e-13	3.46e-07	2.76e-05	4.38e-11	0.931290809	1.14e-13	6.21e-11	8.69e-10	0.068681234	"0.931290809"	"5"
"GO:0043434"	1.23e-05	0.004739436	0.919249486	0.000292079	0.000693934	5.36e-06	0.000386772	7.99e-05	0.074540693	"0.919249486"	"3"
"GO:0072659"	8.06e-18	3.05e-08	0.572544905	2.16e-11	0.000492136	8.43e-18	1.72e-14	7.27e-13	0.426962929	"0.572544905"	"3"
"GO:0043433"	3.27e-09	0.000164378	0.88282349	5.77e-08	0.046406858	1.21e-09	5.77e-08	7.14e-07	0.070604439	"0.88282349"	"3"
"GO:0016197"	2.37e-15	4.68e-05	1.82e-06	1.06e-14	7.45e-09	8.68e-14	1.1e-11	1.47e-10	0.999951389	"0.999951389"	"9"
