"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"max"	"maxcol"	"model"
"GO:0005719"	1.18287269814968e-05	0.00233263105952162	2.62204511953948e-05	7.0079424509141e-06	8.20890732003639e-06	0.374279227976465	1.44864254503342e-05	0.00111172706687383	0.622208661443741	"0.622208661443741"	"9"	"OU"
"GO:0051879"	0.000655154004923281	0.00877424666807675	0.0845681517210712	0.000476112231400341	0.0499984886852008	0.00124089516986401	0.0267263257707476	0.000566618582146447	0.826994007166569	"0.826994007166569"	"9"	"OU"
"GO:0007626"	1.09541245181359e-12	0.680229718778712	2.43696511912229e-06	0.00378046658449669	1.1242408621847e-12	1.56851215314332e-12	1.21302330554095e-10	1.83534158589202e-06	0.315985542204996	"0.680229718778712"	"2"	"Chimp-to-anc"
"GO:0007623"	2.3738544724809e-13	1.78821213627624e-07	0.00145939066063251	1.22364901066261e-08	0.00262585699078604	1.22580798913929e-13	2.47269350387815e-11	1.48499381422391e-09	0.995914559780797	"0.995914559780797"	"9"	"OU"
"GO:0006629"	2.46662028111501e-26	2.36249249060587e-19	1.28269843430558e-08	7.33167221612883e-14	5.59943178361793e-07	1.09083185478262e-09	1.73082117520607e-26	2.60299882966022e-14	0.999999426138906	"0.999999426138906"	"9"	"OU"
"GO:0006626"	9.72029739867139e-08	0.0233401279168339	0.975845051736998	7.70294764289219e-06	7.58905877539226e-05	6.13852227998709e-08	2.21107402224978e-07	3.14912323664086e-06	0.000727697991936014	"0.975845051736998"	"3"	"HCanc-to-anc"
"GO:0007628"	4.92324342440146e-08	7.57266803850066e-05	0.0145091393679163	1.16150693352191e-06	0.0157096326659758	1.81151926693845e-08	5.91060627789251e-08	7.14200469767978e-06	0.969697071320402	"0.969697071320402"	"9"	"OU"
"GO:0036459"	1.22261597587129e-07	0.000188892552790835	9.57908218275146e-05	1.05435885832447e-07	0.00062777493444849	2.04286726879053e-07	1.03576265590146e-07	8.14831822098242e-05	0.999005522948248	"0.999005522948248"	"9"	"OU"
"GO:0030674"	4.33016176132412e-08	4.22148242036909e-06	0.0247252271839991	0.000599951386944485	0.00102660665586535	1.20290544419061e-07	1.60468911838197e-08	0.000366209636137884	0.97327760401558	"0.97327760401558"	"9"	"OU"
"GO:0030672"	2.99909641474672e-14	8.5782339641238e-06	0.999905648902839	8.57725926057387e-05	3.85334245629496e-14	2.84665099879069e-14	1.08590042927583e-10	4.84261001406828e-12	1.57061863805828e-10	"0.999905648902839"	"3"	"HCanc-to-anc"
"GO:0030670"	2.76998285484544e-16	7.05141776902177e-05	0.000283285222767369	1.02999176261464e-16	1.44374620970699e-09	3.40123727198033e-09	1.0919910121962e-09	3.07893392560973e-12	0.999646194659489	"0.999646194659489"	"9"	"OU"
"GO:0048384"	6.50436691359059e-05	0.000570458196751807	0.267872871034044	0.722609757755985	3.30964525373175e-05	0.000147802305657462	2.52887398903886e-05	0.00132787315271476	0.00734780869328311	"0.722609757755985"	"4"	"Gorilla-to-anc"
"GO:0000289"	4.16902210367217e-05	0.993124354281996	0.00164343706364061	0.000592155021496966	0.0012545305907257	1.83703391816238e-05	0.000153856926758981	0.00107340563528354	0.00209819991988045	"0.993124354281996"	"2"	"Chimp-to-anc"
"GO:0000287"	1.53642875796183e-17	1.05557248965642e-15	6.14512455457342e-14	4.49993544193836e-13	1.60433743290883e-15	6.76497750090093e-16	1.24937295310892e-11	0.999867825517942	0.000132174469049278	"0.999867825517942"	"8"	"Monkey-to-anc"
