"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"max"	"maxcol"	"model"
"GO:0007623"	4.66422853903168e-19	1.30945827558214e-05	0.0438741376974026	0.956112755018005	2.64172877918888e-16	1.88009125590049e-17	2.09034007790429e-16	7.84067006739259e-13	1.27010518210653e-08	"0.956112755018005"	"4"	"Gorilla-to-anc"
"GO:0006629"	2.13517707233322e-129	9.67910054952924e-79	1.49709402768246e-24	1	5.15522078577873e-124	6.20267580915242e-115	2.56645642715275e-112	1.1832662153787e-114	7.73744585646472e-92	"1"	"4"	"Gorilla-to-anc"
"GO:0006626"	2.48933679515397e-09	0.0115521757902756	0.985525569412478	0.0028473303499594	6.5413896613889e-08	1.70837582502919e-09	1.2214735484846e-07	2.37698715724954e-07	7.44949896075601e-05	"0.985525569412478"	"3"	"HCanc-to-anc"
"GO:0007628"	3.47816984539327e-16	9.68598492602256e-05	0.16248484978903	0.83741597603949	8.32508776234718e-15	6.5879464173215e-16	1.88382549027928e-12	1.43534848147973e-12	2.31431889083254e-06	"0.83741597603949"	"4"	"Gorilla-to-anc"
"GO:0036459"	0.000630358102303215	0.383187275277631	0.561910793330438	0.0212285511579695	0.00574138965147357	0.00023545752874051	0.00248190290252296	0.0105194088737955	0.014064863175126	"0.561910793330438"	"3"	"HCanc-to-anc"
"GO:0030674"	7.21323704226476e-65	3.2977791949542e-31	3.09975102088126e-06	0.999996900248979	5.472140294549e-62	1.54915663282652e-57	9.82599592346876e-56	4.17138914837571e-57	2.24733845253972e-42	"0.999996900248979"	"4"	"Gorilla-to-anc"
"GO:0030672"	9.3933188016388e-29	8.90984888212407e-16	0.999867160057031	0.000132839942950308	1.70889565809153e-23	6.43583488879525e-24	1.03971308993693e-23	5.69238008346144e-24	1.82041863098881e-14	"0.999867160057031"	"3"	"HCanc-to-anc"
"GO:0030673"	3.0292848251344e-08	1.12753612877317e-05	0.618164963608393	0.381810042508008	9.59658882043884e-08	1.49051721214817e-06	2.19251392921013e-07	2.85240095055555e-07	1.15972548745137e-05	"0.618164963608393"	"3"	"HCanc-to-anc"
"GO:0030670"	2.33288188030992e-13	0.00441314112441237	0.00557688761625539	0.990007408655905	7.34144548153882e-13	2.56252811566294e-06	9.29581544704631e-12	6.50349064213835e-11	1.31455243840784e-14	"0.990007408655905"	"4"	"Gorilla-to-anc"
"GO:0048384"	0.000698806702471381	0.134016085225213	0.0200324835798005	0.00187925552364246	0.0365434636819252	0.00154666402436223	0.00717151175245721	0.00753952182325675	0.790572207686871	"0.790572207686871"	"9"	"OU"
"GO:0000289"	8.26903625322686e-06	0.0361279711173739	0.79126278086321	0.000132962495409255	0.00706388798471428	3.12160943018304e-06	1.29301252610296e-05	0.000318271544974249	0.165069805223374	"0.79126278086321"	"3"	"HCanc-to-anc"
"GO:0000287"	5.55078944129393e-31	0.999851751106473	0.000147981252048962	2.67620248478198e-07	1.59161059002854e-18	3.25150527822693e-30	3.72050391932806e-27	4.1642343819791e-15	2.12253358099395e-11	"0.999851751106473"	"2"	"Chimp-to-anc"
"GO:0045070"	3.1256259982505e-05	0.00830535334689393	0.488233733648442	0.0112341648563764	0.0653704660161263	1.40187976451058e-05	0.000458651256407207	0.000324212482982079	0.426028143335144	"0.488233733648442"	"3"	"HCanc-to-anc"
"GO:0000281"	1.88189124895256e-06	0.00992897456093036	0.713717051656037	0.144967344112319	0.000342875492445742	3.20837910053876e-06	2.46844205430306e-05	6.36769234248683e-05	0.13095030256395	"0.713717051656037"	"3"	"HCanc-to-anc"
