"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"max"	"maxcol"	"model"
"GO:0048384"	2.84044608212084e-05	9.1953035130629e-05	0.0122431929724058	9.21137052437506e-05	0.978833450541055	1.46380619307905e-05	0.000122150100665319	1.96980977336379e-05	0.00855439902501382	"0.978833450541055"	"5"	"HCGanc-to-anc"
"GO:0000289"	2.73532218994051e-06	0.0658920100331092	0.0163362407800265	0.000138713752978172	0.00910122780617363	1.16647042636558e-06	6.42106907201344e-06	0.000155786371497464	0.908365698394527	"0.908365698394527"	"9"	"OU"
"GO:0000287"	1.73772451060092e-19	0.99999998906022	1.80332466776017e-18	5.74407030584627e-19	2.39558462794142e-18	1.0924162321916e-08	1.55182955574473e-11	9.93023803758751e-14	6.06552593791277e-22	"0.99999998906022"	"2"	"Chimp-to-anc"
"GO:0045070"	1.96647205772746e-06	0.0115594944294916	0.0102721209455494	8.78767066564524e-05	0.23113595676364	7.99253394293021e-07	3.81566686800038e-06	0.000121899946246684	0.746816069816096	"0.746816069816096"	"9"	"OU"
"GO:0000281"	6.26072344841213e-12	0.0276568581444423	0.00264239068263511	3.9342899789542e-11	0.0752069539526301	9.12171179444997e-12	1.74099166478614e-09	2.41842299674395e-09	0.894493793006153	"0.894493793006153"	"9"	"OU"
"GO:0004993"	0.0326641139617374	0.0227971874755724	0.231959879939402	0.0786591077528068	0.380371876454768	0.185084871055034	0.0128006117821038	0.0465104525058123	0.00915189907276249	"0.380371876454768"	"5"	"HCGanc-to-anc"
"GO:0055007"	0.0111465379397978	0.097233130516233	0.0112830281220677	0.0136522556051928	0.0103254200122202	0.464774049550794	0.137040241292503	0.0162365667844242	0.238308770176767	"0.464774049550794"	"6"	"Orang-to-anc"
"GO:0006974"	1.82255208017523e-21	1.41740479274555e-12	2.53211831929849e-10	1.9489089720766e-19	0.0612565079289397	2.05925000088079e-21	2.96012206800842e-21	2.3127737923689e-12	0.938743491814118	"0.938743491814118"	"9"	"OU"
"GO:0048037"	1.56583770255062e-08	1.69384438510963e-05	0.0712069508270114	1.71164939312765e-07	0.659799486024243	5.94019178479958e-09	1.92075145550136e-07	3.19732625965138e-07	0.268975920133615	"0.659799486024243"	"5"	"HCGanc-to-anc"
"GO:0043928"	1.59662123914624e-06	3.16750418086635e-05	3.25925323398993e-05	6.10311134919028e-07	0.983697139744308	2.61155425505135e-06	4.71184722658504e-06	6.13850647418887e-06	0.0162229238412134	"0.983697139744308"	"5"	"HCGanc-to-anc"
